agente,f_desde,f_hasta,zona,produccion,cartera,canal
38,25/02/10,05/05/10,Centro,0,0,PropiaParticulares
39,30/03/10,05/05/10,Centro,0,0,PropiaEmpresas
40,07/04/10,05/05/10,Centro,0,0,PropiaEmpresas
41,09/03/10,05/05/10,Centro,0,0,PropiaEmpresas
42,09/04/10,05/05/10,Centro,0,0,PropiaParticulares
43,16/04/10,05/05/10,Centro,0,0,PropiaParticulares
44,29/01/10,05/05/10,Castilla,0,0,PropiaParticulares
45,01/10/99,05/05/10,Castilla,0,0,PropiaParticulares
46,01/07/00,05/05/10,Castilla,0,0,PropiaParticulares
47,01/01/04,05/05/10,Castilla,0,0,PropiaParticulares
48,29/01/10,05/05/10,Castilla,0,0,PropiaParticulares
49,29/01/10,05/05/10,Castilla,0,0,PropiaParticulares
50,29/01/10,05/05/10,Castilla,0,0,PropiaParticulares
51,29/01/10,05/05/10,Castilla,0,0,PropiaParticulares
52,10/05/08,05/05/10,Castilla,0,0,PropiaParticulares
53,29/01/10,05/05/10,Castilla,0,0,PropiaParticulares
54,20/04/10,05/05/10,Castilla,0,0,PropiaParticulares
55,20/04/10,05/05/10,Castilla,0,0,PropiaParticulares
56,02/03/10,05/05/10,Castilla,0,0,PropiaParticulares
57,22/04/10,05/05/10,Castilla,0,0,PropiaParticulares
58,20/05/07,05/05/10,Este,0,0,PropiaParticulares
59,15/01/10,05/05/10,Este,0,0,PropiaParticulares
60,15/01/10,05/05/10,Este,0,0,PropiaParticulares
61,10/02/10,05/05/10,Este,0,0,PropiaParticulares
62,09/03/10,05/05/10,Este,0,0,PropiaParticulares
63,02/06/09,05/05/10,Este,0,0,PropiaParticulares
64,15/01/10,05/05/10,Este,0,0,PropiaParticulares
65,15/01/10,05/05/10,Este,0,0,PropiaParticulares
66,19/04/10,05/05/10,Este,0,0,PropiaParticulares
67,19/04/10,05/05/10,Este,0,0,PropiaParticulares
68,19/04/10,05/05/10,Este,0,0,PropiaParticulares
69,19/04/10,05/05/10,Este,0,0,PropiaParticulares
70,23/12/09,05/05/10,Este,0,0,PropiaParticulares
71,25/03/10,05/05/10,Este,0,0,PropiaParticulares
72,04/03/10,05/05/10,Este,0,0,PropiaParticulares
73,19/04/10,05/05/10,Este,0,0,PropiaParticulares
74,19/04/10,05/05/10,Este,0,0,PropiaParticulares
75,16/03/10,05/05/10,Este,0,0,PropiaParticulares
76,11/03/10,05/05/10,Este,0,0,PropiaParticulares
77,06/06/09,05/05/10,Este,0,0,PropiaParticulares
78,05/09/08,05/05/10,Este,0,0,PropiaParticulares
79,23/06/08,05/05/10,Este,0,0,PropiaParticulares
80,22/04/10,05/05/10,Este,0,0,PropiaParticulares
81,16/04/10,05/05/10,Este,0,0,PropiaParticulares
82,18/01/10,05/05/10,Galicia,0,0,PropiaParticulares
83,04/03/10,05/05/10,Galicia,0,0,PropiaParticulares
84,04/03/10,05/05/10,Galicia,0,0,PropiaParticulares
85,25/03/10,05/05/10,Galicia,0,0,PropiaParticulares
86,12/04/10,05/05/10,Galicia,0,0,PropiaParticulares
87,12/04/10,05/05/10,Galicia,0,0,PropiaParticulares
88,12/04/10,05/05/10,Galicia,0,0,PropiaParticulares
89,19/04/10,05/05/10,Galicia,0,0,Oficina
90,15/10/01,05/05/10,Galicia,0,0,PropiaParticulares
91,04/06/09,05/05/10,Galicia,0,0,PropiaParticulares
92,15/01/10,05/05/10,Galicia,0,0,PropiaParticulares
93,09/03/10,05/05/10,Galicia,0,0,PropiaParticulares
94,21/04/10,05/05/10,Galicia,0,0,PropiaParticulares
95,07/04/10,05/05/10,Galicia,0,0,PropiaParticulares
96,07/04/10,05/05/10,Galicia,0,0,PropiaParticulares
97,07/04/10,05/05/10,Galicia,0,0,PropiaParticulares
98,07/04/10,05/05/10,Galicia,0,0,PropiaParticulares
99,15/01/10,05/05/10,Galicia,0,0,Oficina
100,11/02/10,05/05/10,Galicia,0,0,Oficina
101,02/02/10,05/05/10,Canarias,0,0,PropiaParticulares
102,20/02/10,05/05/10,Canarias,0,0,PropiaParticulares
103,20/02/10,05/05/10,Canarias,0,0,PropiaParticulares
104,23/04/10,05/05/10,Canarias,0,0,PropiaParticulares
105,01/06/07,05/05/10,Andalucía,0,0,PropiaParticulares
106,01/12/05,05/05/10,Andalucía,0,0,PropiaParticulares
107,01/06/07,05/05/10,Andalucía,0,0,PropiaParticulares
108,10/03/10,05/05/10,Andalucía,0,0,PropiaParticulares
109,15/01/10,05/05/10,Andalucía,0,0,PropiaParticulares
110,05/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
111,20/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
112,15/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
113,15/01/10,05/05/10,Andalucía,0,0,PropiaParticulares
114,13/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
115,09/03/10,05/05/10,Andalucía,0,0,PropiaParticulares
116,09/03/10,05/05/10,Andalucía,0,0,PropiaParticulares
117,25/03/10,05/05/10,Andalucía,0,0,PropiaParticulares
118,15/01/10,05/05/10,Andalucía,0,0,PropiaParticulares
119,26/03/10,05/05/10,Andalucía,0,0,PropiaParticulares
120,16/09/09,05/05/10,Andalucía,0,0,PropiaParticulares
121,20/01/10,05/05/10,Andalucía,0,0,PropiaParticulares
122,10/03/10,05/05/10,Andalucía,0,0,PropiaParticulares
123,15/01/09,05/05/10,Andalucía,0,0,PropiaParticulares
124,17/02/10,05/05/10,Andalucía,0,0,PropiaParticulares
125,20/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
126,20/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
127,01/10/08,05/05/10,Andalucía,0,0,PropiaParticulares
128,01/01/09,05/05/10,Andalucía,0,0,PropiaParticulares
129,17/02/10,05/05/10,Andalucía,0,0,PropiaParticulares
130,18/02/10,05/05/10,Andalucía,0,0,PropiaParticulares
131,18/03/10,05/05/10,Andalucía,0,0,PropiaParticulares
132,15/01/08,05/05/10,Andalucía,0,0,PropiaParticulares
133,21/01/10,05/05/10,Andalucía,0,0,PropiaParticulares
134,17/03/10,05/05/10,Andalucía,0,0,PropiaParticulares
135,17/03/10,05/05/10,Andalucía,0,0,PropiaParticulares
136,04/03/10,05/05/10,Andalucía,0,0,PropiaParticulares
137,20/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
138,20/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
139,20/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
140,04/06/09,05/05/10,Andalucía,0,0,PropiaParticulares
141,05/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
142,21/05/09,05/05/10,Andalucía,0,0,PropiaParticulares
143,17/02/10,05/05/10,Andalucía,0,0,PropiaParticulares
144,05/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
145,05/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
146,05/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
147,23/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
148,15/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
149,12/02/10,05/05/10,Andalucía,0,0,PropiaParticulares
150,09/02/10,05/05/10,Andalucía,0,0,PropiaParticulares
151,06/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
152,15/01/10,05/05/10,Andalucía,0,0,PropiaParticulares
153,09/03/10,05/05/10,Andalucía,0,0,PropiaParticulares
154,15/04/10,05/05/10,Andalucía,0,0,PropiaParticulares
155,13/04/10,05/05/10,SSCC,1647513.18,12908144.47,Corredor
156,10/02/10,05/05/10,Centro,898654.21,10952014.54,Oficina
157,15/01/10,05/05/10,SSCC,1427704.38,8282559.26,Corredor
158,13/04/10,05/05/10,SSCC,1296645.64,7624050.56,Corredor
159,13/04/10,05/05/10,SSCC,693148.61,6263466.86,Corredor
160,13/04/10,05/05/10,SSCC,337035.19,5533708.35,Corredor
161,17/06/09,05/05/10,Centro,522135.33,5416057.82,Oficina
162,09/02/10,05/05/10,Centro,162682.18,5277337.42,Corredor
163,05/11/09,05/05/10,Centro,534036.37,4823561.66,Oficina
164,13/04/10,05/05/10,SSCC,211167.68,4194877,Corredor
165,16/01/10,05/05/10,SSCC,171709.81,3563349.36,Agente
166,22/10/96,05/05/10,Centro,2419803.93,2772841.07,Corredor
167,06/03/10,05/05/10,Este,576295.42,2761283.15,Agente
168,26/02/10,05/05/10,Andalucía,203081.29,2441645.06,Corredor
169,02/02/10,05/05/10,Centro,269634.72,2380559.83,Oficina
170,14/11/09,05/05/10,Centro,379129.63,2248027.75,Oficina
171,16/01/10,05/05/10,Centro,176632.98,1721959.24,Oficina
172,01/01/97,05/05/10,SSCC,127643.49,1594545.59,Corredor
173,04/09/09,05/05/10,Centro,43260.21,1439072.23,Corredor
174,16/01/10,05/05/10,Centro,82076.35,1396674.98,Corredor
175,01/06/06,05/05/10,Este,142655.04,1290926.25,PropiaParticulares
176,10/02/10,05/05/10,Centro,8948.22,1195167.8,Agente
177,07/04/10,05/05/10,Norte,154912.02,1186806.74,PropiaParticulares
178,01/09/94,05/05/10,Centro,47637.17,1184560.08,Agente
179,01/09/97,05/05/10,Centro,221762.69,1118095.16,PropiaParticulares
180,11/07/09,05/05/10,Centro,147285.16,1099089.35,Oficina
181,15/01/10,05/05/10,Andalucía,143724.99,1027587.18,PropiaParticulares
182,25/02/10,05/05/10,Este,112967.85,1003465.7,PropiaParticulares
183,01/05/98,05/05/10,Norte,87580.44,994250.56,Oficina
184,01/09/96,05/05/10,Castilla,101273.17,994213.83,PropiaParticulares
185,01/06/97,05/05/10,Este,102287.34,983060.71,PropiaParticulares
186,01/09/92,05/05/10,Andalucía,91263.51,982866.83,Oficina
187,20/02/10,05/05/10,Norte,110803.14,972764.46,Corredor
188,16/01/10,05/05/10,SSCC,77603.11,969854.71,Agente
189,01/01/00,05/05/10,Este,278907.13,965954.46,PropiaParticulares
190,27/01/10,05/05/10,Andalucía,64876.29,964453.75,Oficina
191,02/06/09,05/05/10,Andalucía,184839.1,962807.87,Oficina
192,18/04/10,05/05/10,Centro,286512.08,961022.73,PropiaParticulares
193,19/03/10,05/05/10,Norte,111264.69,941404,Oficina
194,01/01/95,05/05/10,Centro,86299.65,929222.25,PropiaParticulares
195,01/04/98,05/05/10,Norte,147755.11,905591.54,PropiaParticulares
196,01/11/93,05/05/10,Norte,123482.24,904674.44,PropiaParticulares
197,01/05/98,05/05/10,Norte,62652.97,903784.78,Oficina
198,01/05/93,05/05/10,Norte,98800.68,895363,PropiaParticulares
199,12/01/10,05/05/10,Andalucía,91332.52,894430.25,Oficina
200,07/04/10,05/05/10,Norte,110044.61,877672.58,PropiaParticulares
201,01/01/97,05/05/10,Galicia,105024.36,872500.63,PropiaParticulares
202,28/01/10,05/05/10,Este,50238.07,869709.07,Oficina
203,01/10/95,05/05/10,Este,125470.73,858244.55,PropiaParticulares
204,15/01/10,05/05/10,Este,49586.68,850894.32,Corredor
205,08/07/98,05/05/10,Norte,117651.43,824723.12,PropiaParticulares
206,01/10/99,05/05/10,Este,130883.64,806926.34,PropiaParticulares
207,07/04/10,05/05/10,Norte,104998.27,806526.02,PropiaParticulares
208,15/01/10,05/05/10,Andalucía,134569.54,802700.92,PropiaParticulares
209,01/10/96,05/05/10,Centro,136412.01,794066.96,PropiaParticulares
210,07/04/10,05/05/10,Norte,131717.12,789151.31,PropiaParticulares
211,22/04/10,05/05/10,Galicia,52445.28,779515.1,Oficina
212,07/04/10,05/05/10,Norte,139370.2,765001.71,Oficina
213,01/04/02,05/05/10,Norte,64101.75,762559.47,Corredor
214,01/04/03,05/05/10,Centro,158593.6,760235.7,Corredor
215,01/06/97,05/05/10,Norte,140409.92,756008.72,PropiaParticulares
216,01/01/95,05/05/10,Centro,146569.85,754787.62,PropiaParticulares
217,07/04/10,05/05/10,Norte,100578.18,747291.32,PropiaParticulares
218,01/01/95,05/05/10,Centro,68213.22,745249.8,PropiaParticulares
219,13/04/10,05/05/10,SSCC,54374.62,743052.27,Corredor
220,01/04/02,05/05/10,Este,106777.7,733085.67,PropiaParticulares
221,16/01/10,05/05/10,Andalucía,59886.57,732806.24,PropiaParticulares
222,01/01/95,05/05/10,Centro,65592.25,719721.76,PropiaParticulares
223,01/06/01,05/05/10,Norte,81226.36,710229.27,PropiaParticulares
224,07/04/10,05/05/10,Norte,67405.18,709772.84,PropiaParticulares
225,01/06/92,05/05/10,Andalucía,103080.04,708319.14,PropiaParticulares
226,07/04/10,05/05/10,Norte,107025.45,707289.12,PropiaParticulares
227,07/04/10,05/05/10,Norte,99510.3,696598.38,PropiaParticulares
228,15/11/97,05/05/10,Norte,115362.89,695863.36,PropiaParticulares
229,15/01/10,05/05/10,Este,122079.88,695812.87,PropiaParticulares
230,15/01/10,05/05/10,Andalucía,98800.53,695144.16,PropiaParticulares
231,01/01/95,05/05/10,Centro,62179.56,695094.61,PropiaParticulares
232,15/03/00,05/05/10,Centro,47001.75,693141.91,PropiaParticulares
233,08/07/98,05/05/10,Norte,94449.11,679363.51,PropiaParticulares
234,01/03/01,05/05/10,Norte,48904.2,676849.1,Corredor
235,01/10/03,05/05/10,Este,212654.9,668732.94,PropiaParticulares
236,15/01/10,05/05/10,Centro,118171.72,663910.19,Corredor
237,01/10/91,05/05/10,Andalucía,104003.83,655246.11,Oficina
238,01/01/96,05/05/10,Centro,139543.13,645821.34,PropiaParticulares
239,01/03/01,05/05/10,Este,142453.48,637184.39,PropiaParticulares
240,01/11/02,05/05/10,Norte,28746.91,632463.72,Corredor
241,26/01/95,05/05/10,Norte,61709.7,631208.17,Oficina
242,01/01/95,05/05/10,Centro,56351.5,630771.2,PropiaParticulares
243,14/09/98,05/05/10,Norte,62106.32,629051.97,PropiaParticulares
244,15/01/10,05/05/10,Centro,89340.41,618940.79,PropiaParticulares
245,01/02/01,05/05/10,Este,152515.58,618151.7,PropiaParticulares
246,13/04/10,05/05/10,SSCC,26986.56,615605.08,Corredor
247,01/12/01,05/05/10,Norte,128592.28,613343.64,PropiaParticulares
248,01/03/02,05/05/10,Este,118435.22,610453.88,PropiaParticulares
249,01/11/04,05/05/10,Galicia,86427.84,607058.59,PropiaParticulares
250,25/03/10,05/05/10,Centro,59417.56,606974.89,PropiaParticulares
251,03/05/00,05/05/10,Este,127274.92,605014.5,PropiaParticulares
252,01/04/01,05/05/10,Norte,78918.87,604234.38,PropiaParticulares
253,01/01/04,05/05/10,Andalucía,13387.78,603248.17,Corredor
254,16/05/09,05/05/10,Galicia,111916.62,603239.64,Corredor
255,01/04/97,05/05/10,Centro,97794.77,598672.98,PropiaParticulares
256,27/11/98,05/05/10,Norte,77563.22,597681.23,PropiaParticulares
257,12/12/09,05/05/10,Andalucía,82195.32,595825.62,PropiaParticulares
258,01/09/98,05/05/10,Castilla,69244.86,588705.72,PropiaParticulares
259,21/07/09,05/05/10,Norte,50797.8,585756.5,Corredor
260,06/03/10,05/05/10,Andalucía,34054.98,582580.24,Corredor
261,15/01/10,05/05/10,Centro,90438.58,577023.84,Corredor
262,01/03/01,05/05/10,Galicia,91421.68,573335.21,PropiaParticulares
263,01/06/01,05/05/10,Castilla,89541.27,572345.54,PropiaParticulares
264,01/01/96,05/05/10,Centro,49594.37,571967.3,PropiaParticulares
265,06/04/10,05/05/10,Galicia,64370.38,567042.15,PropiaParticulares
266,01/10/01,05/05/10,Castilla,80164.01,561732.34,PropiaParticulares
267,01/11/97,05/05/10,Norte,80951.69,559953.46,PropiaParticulares
268,01/10/00,05/05/10,Centro,77902.76,556612.94,PropiaParticulares
269,14/07/09,05/05/10,Este,97364.38,552726.74,PropiaParticulares
270,01/09/99,05/05/10,Norte,79203.96,544477.28,PropiaParticulares
271,15/01/10,05/05/10,Andalucía,91680.21,542250.59,PropiaParticulares
272,01/07/92,05/05/10,Canarias,50904.6,539120.18,Oficina
273,01/04/00,05/05/10,Este,85762.78,538575.09,Corredor
274,03/05/99,05/05/10,Galicia,75434.06,533686.12,PropiaParticulares
275,01/11/02,05/05/10,Andalucía,95869.47,530223.09,PropiaParticulares
276,08/07/98,05/05/10,Norte,77861.44,524097.34,PropiaParticulares
277,01/09/02,05/05/10,Galicia,110674.57,522876.96,PropiaParticulares
278,01/06/01,05/05/10,Galicia,60984.53,519589.92,PropiaParticulares
279,01/09/98,05/05/10,Castilla,46663.37,515695.31,PropiaParticulares
280,03/05/01,05/05/10,Centro,66386.65,507899.87,PropiaParticulares
281,01/10/00,05/05/10,Este,2127.3,502086.41,Agente
282,09/04/10,05/05/10,Andalucía,62871.91,499181.62,PropiaParticulares
283,01/01/00,05/05/10,Norte,63892.3,498843.63,PropiaParticulares
284,01/06/98,05/05/10,Este,104405.98,498303.19,Agente
285,01/02/03,05/05/10,Norte,68673.79,496573.59,PropiaParticulares
286,29/12/09,05/05/10,Norte,40324.75,495688.05,Corredor
287,01/06/98,05/05/10,Este,81749.86,490947.31,PropiaParticulares
288,16/01/10,05/05/10,Andalucía,38370.13,488653.11,PropiaParticulares
289,22/04/10,05/05/10,Norte,94007.71,487969.58,PropiaParticulares
290,31/03/10,05/05/10,Centro,21311.39,487215.47,PropiaParticulares
291,01/09/94,05/05/10,Andalucía,13468.1,484330.94,PropiaParticulares
292,16/01/10,05/05/10,Andalucía,77193.01,482448.45,Oficina
293,22/05/09,05/05/10,Centro,49732.36,477755.56,PropiaParticulares
294,01/01/93,05/05/10,Norte,4601.16,476161.87,Agente
295,14/05/09,05/05/10,Castilla,62781.9,473544.33,PropiaParticulares
296,01/02/96,05/05/10,Andalucía,61086.27,471419.92,PropiaParticulares
297,16/05/09,05/05/10,Galicia,84042.5,471199.62,PropiaParticulares
298,01/04/04,05/05/10,Norte,88045.85,463064.16,PropiaParticulares
299,01/11/04,05/05/10,Norte,26003.13,460638.27,Corredor
300,01/12/01,05/05/10,Norte,26582.65,460406.52,PropiaParticulares
301,02/06/09,05/05/10,Centro,34166.45,458779.12,PropiaParticulares
302,07/04/10,05/05/10,Norte,85014.33,455419.18,Oficina
303,21/03/10,05/05/10,Este,63668.54,454308.11,PropiaParticulares
304,07/04/10,05/05/10,Norte,39789.01,452674.27,PropiaParticulares
305,01/12/02,05/05/10,Norte,70252.88,451857.41,PropiaParticulares
306,01/04/97,05/05/10,Centro,55840.02,447136.38,PropiaParticulares
307,18/12/98,05/05/10,Galicia,106810.16,446856.11,PropiaParticulares
308,01/10/01,05/05/10,Castilla,39425.22,446596.65,PropiaParticulares
309,01/09/01,05/05/10,Norte,90466.83,445483.92,PropiaParticulares
310,01/07/01,05/05/10,Norte,103780.17,442229.95,PropiaParticulares
311,18/07/09,05/05/10,Norte,37030.89,437107.85,Corredor
312,16/10/97,05/05/10,Galicia,57943.12,434566.74,PropiaParticulares
313,29/12/09,05/05/10,Norte,78792.87,433805.8,PropiaParticulares
314,07/04/10,05/05/10,Norte,55487.23,432619.8,Corredor
315,01/10/01,05/05/10,Castilla,71007.2,427438.83,PropiaParticulares
316,01/01/95,05/05/10,Centro,17999.32,427052.24,PropiaParticulares
317,01/08/92,05/05/10,Andalucía,27278.51,426893.41,PropiaParticulares
318,01/04/01,05/05/10,Galicia,61089.41,425741.71,PropiaParticulares
319,01/06/97,05/05/10,Este,55673.95,424437.1,Agente
320,01/06/98,05/05/10,Este,50648.23,421779.33,PropiaParticulares
321,01/04/98,05/05/10,Este,48428.45,421644.33,Oficina
322,09/04/10,05/05/10,Andalucía,58351.62,415956.76,PropiaParticulares
323,07/04/10,05/05/10,Norte,18376.69,414595.36,PropiaParticulares
324,19/10/04,05/05/10,Norte,25028.36,409720.13,Oficina
325,01/06/00,05/05/10,Norte,36696.95,409069.18,PropiaParticulares
326,01/03/01,05/05/10,Galicia,27218.49,408935.72,Oficina
327,13/04/10,05/05/10,SSCC,12438.19,407391.85,Corredor
328,14/04/10,05/05/10,Este,55723.36,405972.56,Agente
329,05/12/09,05/05/10,Centro,8630.38,405334.24,Agente
330,26/02/96,05/05/10,Canarias,54868.35,403076.66,Oficina
331,09/09/09,05/05/10,Andalucía,63703.65,402151.54,PropiaParticulares
332,01/05/98,05/05/10,Norte,49187.16,400743.26,PropiaParticulares
333,15/11/97,05/05/10,Norte,54366.29,399975.77,PropiaParticulares
334,01/01/80,05/05/10,Centro,4127.86,396102.98,Agente
335,01/09/98,05/05/10,Castilla,55548.67,395612.84,PropiaParticulares
336,01/11/99,05/05/10,Andalucía,56257.35,394222.73,PropiaParticulares
337,18/07/09,05/05/10,Norte,56074.43,392076.73,PropiaParticulares
338,01/03/03,05/05/10,Norte,57032.94,388314.78,PropiaParticulares
339,01/12/99,05/05/10,Centro,44536.98,387379.42,PropiaParticulares
340,03/05/03,05/05/10,Galicia,47689.8,386132.56,PropiaEmpresas
341,01/01/06,05/05/10,Norte,25883.97,381307.88,Corredor
342,01/11/97,05/05/10,Norte,37368.66,380774.02,PropiaParticulares
343,01/06/95,05/05/10,Andalucía,44234.02,379132.62,PropiaParticulares
344,01/10/00,05/05/10,Este,47228.16,379033.88,Oficina
345,01/06/95,05/05/10,Andalucía,52328.86,377679.03,PropiaParticulares
346,15/10/02,05/05/10,Este,53589.98,377581.81,PropiaParticulares
347,01/01/95,05/05/10,Centro,13765.05,377155.52,Agente
348,23/04/09,05/05/10,Este,39461.27,375055.13,PropiaParticulares
349,15/05/09,05/05/10,Canarias,57763.71,372820.3,PropiaParticulares
350,07/04/10,05/05/10,Norte,15343.79,368021.08,Corredor
351,15/01/10,05/05/10,Andalucía,56676.2,365381.26,PropiaParticulares
352,01/12/01,05/05/10,Norte,46392.04,361146.98,PropiaParticulares
353,01/10/01,05/05/10,Galicia,49603.11,358536.12,PropiaParticulares
354,03/05/04,05/05/10,Este,46691.08,358340.57,PropiaParticulares
355,24/12/09,05/05/10,Andalucía,64304.85,358198.95,PropiaParticulares
356,01/12/02,05/05/10,Este,75192.5,357721.79,PropiaParticulares
357,01/12/02,05/05/10,Norte,75619.45,356217.64,PropiaParticulares
358,01/06/99,05/05/10,Este,72280.76,354938.71,Oficina
359,01/10/04,05/05/10,Centro,19142.13,352026.41,PropiaParticulares
360,21/09/98,05/05/10,Centro,22607.89,346258.17,Agente
361,01/01/05,05/05/10,Andalucía,4097.28,344475.56,Corredor
362,01/01/92,05/05/10,Andalucía,21905.96,344122,PropiaParticulares
363,01/11/05,05/05/10,Galicia,61922.56,343644.7,PropiaEmpresas
364,01/11/02,05/05/10,Castilla,40050.93,341855.65,PropiaParticulares
365,03/05/07,05/05/10,Este,97120.42,340661.74,PropiaParticulares
366,01/10/05,05/05/10,Centro,88763.51,340203.06,PropiaParticulares
367,23/06/08,05/05/10,Centro,30928.44,340053.12,Agente
368,01/10/97,05/05/10,Andalucía,41567.55,339362.98,Oficina
369,01/01/06,05/05/10,Este,61408.56,339048.52,Oficina
370,01/02/03,05/05/10,Centro,46292.67,338566.15,PropiaParticulares
371,01/09/98,05/05/10,Norte,48362.83,338194.1,PropiaParticulares
372,15/10/93,05/05/10,Andalucía,17261.87,337926.79,PropiaParticulares
373,01/10/03,05/05/10,Castilla,74543.49,336906.27,PropiaParticulares
374,01/04/07,05/05/10,Este,25732.91,336525.92,Corredor
375,01/10/05,05/05/10,Norte,83660.51,333040.98,PropiaParticulares
376,15/01/10,05/05/10,Andalucía,22510.5,331353.62,PropiaParticulares
377,06/03/10,05/05/10,Este,51816.11,329933.91,Oficina
378,01/03/01,05/05/10,Este,33985.12,321900.69,PropiaParticulares
379,25/03/10,05/05/10,Galicia,55529.81,320909.76,PropiaParticulares
380,01/07/07,05/05/10,Este,55693.33,319981.38,Oficina
381,07/04/10,05/05/10,Norte,74187.22,317994.71,PropiaParticulares
382,23/04/09,05/05/10,Este,33842.78,316132.76,PropiaParticulares
383,01/01/05,05/05/10,Norte,49080.89,311431.44,Corredor
384,03/05/07,05/05/10,Este,68625.24,311272.87,PropiaParticulares
385,01/11/03,05/05/10,Galicia,39977.86,309867.28,PropiaParticulares
386,15/01/10,05/05/10,Este,79045.45,309804.34,PropiaParticulares
387,01/11/03,05/05/10,Castilla,63645.49,309560.43,PropiaParticulares
388,12/01/10,05/05/10,Galicia,55262.46,309375.47,PropiaParticulares
389,01/03/02,05/05/10,Norte,37622.27,309083.9,PropiaEmpresas
390,13/09/04,05/05/10,Andalucía,54147.21,308092.45,PropiaEmpresas
391,01/12/02,05/05/10,Norte,9635.96,307874.09,PropiaParticulares
392,14/06/04,05/05/10,Norte,86581.33,307071.69,PropiaParticulares
393,15/01/10,05/05/10,Canarias,67209.48,307063.57,Corredor
394,16/01/10,05/05/10,Andalucía,65534.86,304196.68,PropiaParticulares
395,01/01/96,05/05/10,Centro,3044.84,301803.53,Agente
396,01/03/06,05/05/10,Norte,75287.68,301254.6,PropiaParticulares
397,03/05/07,05/05/10,Este,56028.83,300635.48,PropiaParticulares
398,16/01/10,05/05/10,Centro,87701.01,300473.45,Oficina
399,20/04/10,05/05/10,Andalucía,36822.98,300230.92,PropiaParticulares
400,08/04/10,05/05/10,Centro,8543.38,299989.6,Corredor
401,15/01/10,05/05/10,Andalucía,51714.4,297426.38,PropiaParticulares
402,01/10/04,05/05/10,Norte,19697.8,293203.21,Corredor
403,01/10/00,05/05/10,Castilla,13038.88,292113.82,PropiaParticulares
404,06/03/10,05/05/10,Norte,19660.17,290545.97,Corredor
405,15/01/10,05/05/10,Andalucía,52015.14,288697.02,PropiaParticulares
406,07/04/10,05/05/10,Norte,83099.43,288453.97,Oficina
